No.,Course,Base Fee NGN,USD,GBP,EUR
1,Computer Appreciation,45000,30,22,26
2,Microsoft Word,55000,37,28,31
3,Microsoft Excel,55000,37,28,31
4,Microsoft PowerPoint,65000,43,32,37
5,Microsoft Access,55000,37,28,31
6,Google Workspace,55000,37,28,31
7,Internet & Email Skills,45000,30,22,26
8,Typing & Keyboard Mastery,45000,30,22,26
9,Computer Hardware Fundamentals,45000,30,22,26
10,Computer Maintenance,45000,30,22,26
11,IT Support Fundamentals,45000,30,22,26
12,Windows Productivity,45000,30,22,26
13,File Management & Cloud Storage,45000,30,22,26
14,Cybersecurity Awareness,65000,43,32,37
15,Digital Literacy,45000,30,22,26
16,Canva Graphic Design,55000,37,28,31
17,Advanced Canva Design,75000,50,38,43
18,Adobe Photoshop Basics,55000,37,28,31
19,CorelDRAW Essentials,55000,37,28,31
20,Brand Identity Design,55000,37,28,31
21,Social Media Graphics,55000,37,28,31
22,Flyer & Poster Design,45000,30,22,26
23,Logo Design Fundamentals,45000,30,22,26
24,UI/UX Design Fundamentals,75000,50,38,43
25,Figma for Beginners,75000,50,38,43
26,CapCut Video Editing,55000,37,28,31
27,Advanced Video Editing,75000,50,38,43
28,Content Creation,55000,37,28,31
29,Mobile Photography,45000,30,22,26
30,Digital Storytelling,45000,30,22,26
31,Facebook Marketing,55000,37,28,31
32,Instagram Marketing,55000,37,28,31
33,TikTok Marketing,55000,37,28,31
34,YouTube Marketing,55000,37,28,31
35,LinkedIn Marketing,55000,37,28,31
36,WhatsApp Business Marketing,55000,37,28,31
37,Social Media Management,55000,37,28,31
38,Content Marketing,55000,37,28,31
39,Email Marketing,55000,37,28,31
40,SEO Fundamentals,65000,43,32,37
41,Advanced SEO,75000,50,38,43
42,Search Engine Marketing,45000,30,22,26
43,Google Ads Fundamentals,75000,50,38,43
44,Meta Ads Fundamentals,75000,50,38,43
45,Marketing Analytics,65000,43,32,37
46,Digital Marketing Strategy,65000,43,32,37
47,Influencer Marketing,45000,30,22,26
48,Affiliate Marketing,45000,30,22,26
49,Personal Branding,55000,37,28,31
50,Online Reputation Management,45000,30,22,26
51,Artificial Intelligence Fundamentals,65000,43,32,37
52,AI for Business,65000,43,32,37
53,Prompt Engineering,65000,43,32,37
54,Generative AI Tools,65000,43,32,37
55,ChatGPT for Productivity,45000,30,22,26
56,AI Content Creation,65000,43,32,37
57,AI for Digital Marketing,65000,43,32,37
58,AI for Education,65000,43,32,37
59,AI Automation,75000,50,38,43
60,Responsible AI,45000,30,22,26
61,Web Design Fundamentals,75000,50,38,43
62,HTML & CSS,45000,30,22,26
63,JavaScript Fundamentals,45000,30,22,26
64,WordPress Website Design,75000,50,38,43
65,No-Code Website Building,65000,43,32,37
66,E-commerce Website Setup,75000,50,38,43
67,Landing Page Design,45000,30,22,26
68,Web Hosting & Domains,45000,30,22,26
69,Website SEO,65000,43,32,37
70,Website Maintenance,65000,43,32,37
71,Python for Beginners,75000,50,38,43
72,JavaScript Programming,75000,50,38,43
73,Database Fundamentals,65000,43,32,37
74,SQL Fundamentals,75000,50,38,43
75,Supabase Fundamentals,75000,50,38,43
76,Git & GitHub,45000,30,22,26
77,Software Development Basics,75000,50,38,43
78,API Fundamentals,65000,43,32,37
79,Automation with No-Code Tools,65000,43,32,37
80,App Development Fundamentals,75000,50,38,43
81,Data Analysis Fundamentals,65000,43,32,37
82,Excel Data Analysis,65000,43,32,37
83,Power BI Fundamentals,75000,50,38,43
84,Google Sheets Advanced,75000,50,38,43
85,Data Visualization,45000,30,22,26
86,Business Intelligence,65000,43,32,37
87,Basic Statistics for Data,45000,30,22,26
88,Data Cleaning,45000,30,22,26
89,Dashboard Design,45000,30,22,26
90,Reporting & Analytics,45000,30,22,26
91,Entrepreneurship in the Digital Age,55000,37,28,31
92,Digital Business Fundamentals,55000,37,28,31
93,E-commerce Fundamentals,55000,37,28,31
94,Online Business Setup,45000,30,22,26
95,Freelancing Fundamentals,55000,37,28,31
96,Remote Work Skills,55000,37,28,31
97,Customer Relationship Management,45000,30,22,26
98,ERP Fundamentals,65000,43,32,37
99,CRM Fundamentals,65000,43,32,37
100,Project Management Fundamentals,65000,43,32,37
